screen_name,Player,G,MP,TRB,AST,PTS,text,favorite_count,retweet_count,quoted_text,retweet_text,followers_count,political
_bigjayy_,Jarrett Allen,70,1852,671,110,775,"🏆 in year 14, first-time champ with the 
 the @lakers... jared dudley! #lakeshow https://t.co/lhg9zw1of2",0,1114,NA,"🏆 in year 14, first-time champ with the 
 the @lakers... jared dudley! #lakeshow https://t.co/lhg9zw1of2",29717,NA
_bigjayy_,Jarrett Allen,70,1852,671,110,775,"bath tubs should be sized so people over 5'8"" can relax with both their knees and back underwater, why are tubs still manufactured for the napoleonic era",0,21336,NA,"bath tubs should be sized so people over 5'8"" can relax with both their knees and back underwater, why are tubs still manufactured for the napoleonic era",29717,NA
_bigjayy_,Jarrett Allen,70,1852,671,110,775,"you wanna get rich quick, trainers? then you need a magikarp! 😉

on this day in 1998, james fell for the scam of the century while aboard the s.s. anne! https://t.co/lww01pdr3r",0,1586,NA,"you wanna get rich quick, trainers? then you need a magikarp! 😉

on this day in 1998, james fell for the scam of the century while aboard the s.s. anne! https://t.co/lww01pdr3r",29717,NA
_bigjayy_,Jarrett Allen,70,1852,671,110,775,@brody_the_short @teamcherrygames i’m playing on the switch rn,4,2,NA,NA,29717,NA
_bigjayy_,Jarrett Allen,70,1852,671,110,775,@rancmube @teamcherrygames 100% agreed,3,1,NA,NA,29717,NA
_bigjayy_,Jarrett Allen,70,1852,671,110,775,"finally finished. it’s a solid 10/10!
amazing game @teamcherrygames https://t.co/bygz8teapn",249,8,NA,NA,29717,NA
_bigjayy_,Jarrett Allen,70,1852,671,110,775,@jamespolitano5 @sdinwiddie_25 you understand the struggle i’ve been through!,69,1,NA,NA,29717,NA
_bigjayy_,Jarrett Allen,70,1852,671,110,775,damn 2k... new cover art? you shouldn’t have.. https://t.co/07mgbqevx4,3509,251,NA,NA,29717,NA
_bigjayy_,Jarrett Allen,70,1852,671,110,775,@jamespolitano5 @sdinwiddie_25 that’s a nice looking jersey you got there 👀,18,1,NA,NA,29717,NA
_bigjayy_,Jarrett Allen,70,1852,671,110,775,@sdinwiddie_25 just trying to win a copy..,274,6,NA,NA,29717,NA
_bigjayy_,Jarrett Allen,70,1852,671,110,775,"this is (obviously) the way

#themandalorian https://t.co/ez7769zs9m",0,241,NA,"this is (obviously) the way

#themandalorian https://t.co/ez7769zs9m",29717,NA
_bigjayy_,Jarrett Allen,70,1852,671,110,775,i’m all in! it’s my time to win a giveaway... https://t.co/vzg57cgtzq,247,10,"we're taking fan appreciation online this season! our partners @fanduel, @snipes_usa, @biosteelsports and @qatarairways are hooking you up with a chance to win amazing giveaways ➡️ https://t.co/bzzmuflgzn https://t.co/0jushtpcb3",NA,29717,NA
_bigjayy_,Jarrett Allen,70,1852,671,110,775,bad news: toad died https://t.co/qkmygkkvjp https://t.co/zkgt2zm9rm,0,7660,NA,bad news: toad died https://t.co/qkmygkkvjp https://t.co/zkgt2zm9rm,29717,NA
_bigjayy_,Jarrett Allen,70,1852,671,110,775,just know that we all are waiting on that tattoo @birdsnets https://t.co/riprpfmgbj,15732,2026,NA,NA,29717,NA
_bigjayy_,Jarrett Allen,70,1852,671,110,775,@joe_makar @brooklynnets @kdtrey5 @sdinwiddie_25 @carislevert @_claxton33 @jcrossover @realtjohnson happy birthday!,108,2,NA,NA,29717,NA
_bigjayy_,Jarrett Allen,70,1852,671,110,775,go out there and kill it kj! congrats! https://t.co/ek5ksyoonb,89,4,commited‼️‼️ https://t.co/cafzrv9rsw,NA,29717,NA
_bigjayy_,Jarrett Allen,70,1852,671,110,775,good luck @nasapersevere! https://t.co/jiqa7dbezj,97,10,we will always persevere. #countdowntomars https://t.co/rk0ijbaktz,NA,29717,NA
_bigjayy_,Jarrett Allen,70,1852,671,110,775,🚀 we have liftoff to mars! the @ulalaunch atlas v takes flight with our @nasapersevere rover. the #countdowntomars continues as perseverance begins her 7-month journey to the red planet! https://t.co/3rtl1cr4ws,0,21539,NA,🚀 we have liftoff to mars! the @ulalaunch atlas v takes flight with our @nasapersevere rover. the #countdowntomars continues as perseverance begins her 7-month journey to the red planet! https://t.co/3rtl1cr4ws,29717,NA
